time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1551430736.980255,6,63,216.58.211.205,192.168.1.149,443,59158
1551430737.797814,6,63,216.58.214.162,192.168.1.149,443,44104
1551430737.833813,6,136,192.168.1.149,216.58.211.54,53954,443
1551430737.834689,6,46,192.168.1.149,216.58.211.54,53954,443
1551430737.856145,6,137,216.58.211.54,192.168.1.149,443,53954
1551430737.856167,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.858328,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.858341,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.858348,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.858352,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.858356,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.858362,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.858666,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.861339,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.864816,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.864828,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.864836,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.86484,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.867412,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869737,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869754,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869757,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869759,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869761,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869765,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869768,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869771,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869776,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869779,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869782,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869788,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869826,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869831,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869836,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.86984,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.869845,6,1418,216.58.211.54,192.168.1.149,443,53954
