time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554707057.290904,6,31,192.168.1.80,97.132.2.118,57366,443
1554707057.704886,6,1233,192.168.1.80,98.245.98.121,40692,443
1554707057.742794,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.742839,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.742848,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.742855,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.742861,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.742867,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.742874,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.74288,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.742887,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.742893,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.742899,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.742905,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.742913,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.742919,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.742928,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.742934,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.744543,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.744556,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.744578,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.744581,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.744588,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.74459,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.744596,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.744599,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.744601,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.744604,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.744606,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.744609,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.744614,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.744616,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.744619,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.744621,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.792772,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.792793,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.79283,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.792838,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.792845,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.79285,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.792855,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.792859,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.792871,6,1396,98.245.98.121,192.168.1.80,443,40692
1554707057.792878,6,1396,98.245.98.121,192.168.1.80,443,40692
